nid,lat,lon,distance
49086487,32.766453,-117.082916,101.993
49086490,32.766434,-117.081886,0
49154856,32.765251,-117.082764,210.076
49154858,32.765278,-117.08226,162.855
49091260,32.76265,-117.079376,596.826
49091261,32.763474,-117.079376,505.201
49091266,32.765324,-117.079643,715.323
49091272,32.767799,-117.079811,1003.306
49687281,32.765755,-117.08168,81.178
49034719,32.762146,-117.08091,681.036
49034721,32.76239,-117.080971,708.761
49299250,32.761673,-117.076103,1011.602
49299251,32.764751,-117.076057,955.852
49113828,32.762882,-117.082199,459.377
49113834,32.761902,-117.081444,622.974
49113838,32.762241,-117.080238,690.284
49113841,32.762638,-117.076088,904.29
49113843,32.762627,-117.074898,1015.571
49051624,32.762657,-117.078934,638.163
49051623,32.761639,-117.078918,751.369
49382003,32.761589,-117.080109,763.78
49519340,32.764408,-117.0783,892.136
49131433,32.761215,-117.081337,700.017
49067160,32.759045,-117.079628,1004.927
49067879,32.766651,-117.079941,869.325
49067882,32.766819,-117.07798,1055.282
49461454,32.761593,-117.076927,1090.663
49268662,32.763233,-117.081787,399.262
49268663,32.763222,-117.081001,378.029
49268673,32.763416,-117.080177,429.053
49268683,32.76347,-117.07608,813.395
49150476,32.763588,-117.082817,570.377