nid,latitude,longitude,distance
49251242,32.749508,-117.088577,2802.632
2138464928,32.7430739,-117.0794603,2803.231
5717308912,32.7495268,-117.0873565,2803.348
49079545,32.747005,-117.085381,2805.162
49358966,32.755417,-117.096909,2806.489
2138445605,32.7488872,-117.0725956,2807.5
1715720529,32.7428621,-117.0796122,2812.057
49248601,32.761578,-117.096657,2812.155
49359421,32.7513408,-117.0890498,2813.908
49360045,32.776234,-117.082153,2815.605
1715720325,32.7430745,-117.0793196,2816.391
2138447534,32.7485906,-117.0729791,2817.634
49087360,32.758972,-117.061188,2819.571
5692633514,32.7432344,-117.0794513,2821.098
49437534,32.742863,-117.079742,2824.197
1715720528,32.742864,-117.0794668,2825.657
49299368,32.744064,-117.082039,2827.67
49445666,32.766331,-117.062157,2827.807
49656032,32.743546,-117.081642,2829.907
1715720474,32.7432361,-117.0793099,2834.383
49474565,32.757313,-117.062111,2843.474
49583024,32.766674,-117.063087,2847.765
49152946,32.745949,-117.084343,2847.854
49512910,32.770458,-117.064407,2848.06
49251239,32.749512,-117.089073,2849.02
49488294,32.7731143,-117.0669783,2851.794
296872481,32.7718514,-117.0656983,2854.774
49077849,32.7493253,-117.085849,2856.25
1715720327,32.7430609,-117.0788758,2858.028
49116236,32.753124,-117.094383,2858.684
2138447539,32.7485093,-117.0721998,2863.499
49460424,32.7553338,-117.0975735,2869.316
1715720472,32.7432225,-117.078856,2876.092
49224610,32.76992,-117.064751,2876.156
49123144,32.753674,-117.06488,2876.276
2138445673,32.7485054,-117.0733979,2876.345
49087361,32.759491,-117.061203,2877.298
49113168,32.762001,-117.060143,2879.608
49283725,32.7513657,-117.0922468,2882.941
49230919,32.760456,-117.060097,2883.989
49078748,32.772972,-117.091797,2886.269
49576589,32.766663,-117.063957,2888.59
49360039,32.77623,-117.082977,2893.244
49216516,32.766983,-117.091347,2893.757
49087352,32.763474,-117.060257,2900.961
49260686,32.7590511,-117.0943391,2904.086
2138465580,32.7440677,-117.0794323,2913.802
49420018,32.742054,-117.079773,2914.2
49248592,32.7623259,-117.0972844,2915.171
49042820,32.749523,-117.090134,2917.096
49561683,32.764389,-117.09436,2921.446
49659926,32.769238,-117.064713,2925.761
49445671,32.767056,-117.061562,2925.891
49193879,32.7580766,-117.0957762,2929.64
49042819,32.749521,-117.0899939,2930.2
49359456,32.748352,-117.088577,2931.274
1715720329,32.7428391,-117.0781272,2932.278
2853908208,32.7716956,-117.0942232,2934.345
304923638,32.762633,-117.0969731,2935.664
49463688,32.777493,-117.080109,2939.237
49442996,32.757076,-117.061287,2944.163
49116235,32.753132,-117.095467,2944.581
49079538,32.746117,-117.085739,2944.783
49098576,32.745132,-117.084213,2944.917
49375990,32.77354,-117.08136,2949.986
1715720468,32.7429936,-117.0780729,2950.193
49512912,32.770252,-117.063316,2952.606
49087353,32.7638264,-117.0598643,2954.662
49203384,32.747887,-117.071548,2955.716
49076145,32.77462,-117.093536,2958.22
49230920,32.760468,-117.059288,2959.649
49335446,32.758038,-117.0961,2961.26
49064986,32.7685589,-117.0646664,2962.732
49216512,32.767406,-117.091904,2964.129
2139648059,32.7662842,-117.0591709,2965.297
49023246,32.7728948,-117.0657254,2970.823
49092155,32.7472827,-117.0870084,2973.202
49313595,32.755177,-117.098671,2973.423
4341493376,32.7528464,-117.0645319,2975.454
49235033,32.755375,-117.063049,2977.362
49308535,32.772114,-117.06424,2977.754
2139648055,32.7663836,-117.0592378,2977.997
49078746,32.7731211,-117.0927772,2981.301
49106746,32.7680481,-117.0642074,2982.993
2139648062,32.7661166,-117.0590778,2985.866
49123143,32.7528765,-117.0644068,2987.622
49049543,32.775379,-117.083008,2987.915
49049099,32.747547,-117.07132,2999.694
49120858,32.749531,-117.091217,3000.651
296872655,32.7727102,-117.0693215,3001.397
49668994,32.753258,-117.066132,3002.164
49631873,32.747219,-117.087868,3005.211
5085555451,32.7731661,-117.0657004,3005.508
49054604,32.741219,-117.079773,3007.048
49098575,32.745148,-117.084953,3014.148
49230924,32.760418,-117.058739,3016.879
49094158,32.771488,-117.063049,3019.327
49299185,32.7425593,-117.0772505,3020.005
49038793,32.7475344,-117.0721027,3021.162
49437556,32.741234,-117.079361,3021.248
49313536,32.7551035,-117.0991966,3023.249
49316210,32.770119,-117.062553,3025.462
49375989,32.773544,-117.082191,3027.681
49116234,32.753139,-117.096542,3029.123
49299364,32.742874,-117.083656,3029.357
49248587,32.7632918,-117.0977223,3030.154
49092154,32.7467359,-117.0870135,3034.005
49463658,32.772781,-117.081383,3034.41
1715720465,32.7427278,-117.0772411,3038.762
49144773,32.7440727,-117.0780178,3041.514
49203376,32.747158,-117.07132,3043.326
49320960,32.765062,-117.0954071,3048.405
1397239777,32.7666291,-117.0583811,3048.787
49291016,32.771553,-117.062737,3049.539
49460416,32.7550789,-117.0994787,3049.771